       date     vel             unc
       10805.702     -3.51672      2.23867
        10983.028      84.9648      2.28522
        11009.942     -18.3036      2.23565
        11011.116      83.3167      2.40094
        11011.874     0.264539      2.29268
        11012.067     -27.1352      2.24993
        11012.840     -41.1735      2.43737
        11012.949     -29.1440      2.27500
        11013.075     -13.6575      2.26409
        11013.791      75.6928      2.40682
        11013.915      81.0258      2.44905
        11014.081      83.1866      2.36102
        11043.002     -19.7926      2.16201
        11043.961     -26.8030      2.32462
        11044.056     -17.1359      2.26403
        11050.730      51.3090      2.12315
        11051.004      79.0451      2.13652
        11051.730      53.6869      2.11655
        11052.012      13.8247      2.21330
        11068.831     -16.5099      2.32358
        11069.846      80.1627      2.31789
        11070.891     -26.0410      2.31362
        11071.827     -24.9573      2.31735
        11072.817      78.6696      2.32697
        11073.843     -4.79255      2.29251
        11074.805     -37.2144      2.35274
        11312.114      7.67953      2.39674
        11341.034     -43.1476      2.50817
        11341.986      67.9784      2.36254
        11342.976      23.9412      2.36970
        11367.920      0.00000      2.38867
        11368.911     -50.4310      2.43896
        11370.022      76.5188      2.33327
        11370.929      13.5178      2.25149
        11372.022     -43.6635      2.28945
        11373.019      70.7780      2.27390
        11373.814      49.9378      2.52844
        11409.944      41.2884      2.29337
        11410.902      48.8582      2.40256
        11411.881     -60.4429      2.38955
        11439.766     -62.5637      2.38207
        11706.069     -63.6859      2.40140
        12004.141     -14.6930      2.33649
        12008.134      66.3975      2.42291
        12031.112     -70.7562      2.39809
        12062.020     -65.2757      2.80838
        12094.879      59.5147      2.51441
        12101.915     -29.5743      2.44984
        12446.993     -20.4970      2.29075
        12536.756     -27.6659      2.50302
        12776.085      43.1733      2.39721
        12833.890     -60.6534      2.39057
        13154.091      27.4169      2.45299
        13179.868     -94.5990      2.41635
        13180.978     -26.1900      2.34223
        13181.959      24.3742      2.33943
        13189.902     -69.4283      2.42795
        13195.868     -94.7764      2.40943
        13196.874      25.2203      2.41285
        13237.925      2.26009      2.37385
        13338.703     -51.2397      2.28370
        13339.739      39.1965      2.32067
        13602.930      51.1945      2.48343
        13723.700      55.8232      2.36969
        13927.940      76.0323      2.37740
        13982.886     -2.12388      2.37981
        14247.116      78.0702      2.39246
        14248.072     -32.9537      2.39435
        14249.105     -4.80556      2.38639
        14250.033      87.3177      2.42137
        14252.003     -28.2336      2.46729
        14256.027      82.8582      2.26441
        14277.933      82.2871      2.33575
        14278.990     -30.1555      2.41878
        14295.022     -48.7685      2.44011
        14337.789     -25.2541      2.42639
        14343.841     -5.16626      2.39491
