       date     vel           unc
       12187.970    -0.085549975      2.83000
        12218.998      -2.8400017      2.83868
        12220.015      -2.7542892      3.00511
        12307.770       3.8693527      2.82258
        12535.955       1.8821172      2.75472
        12575.915      -8.2528549      2.98754
        12850.115      -4.5163504      2.79986
        13239.082      -2.0863557      2.65127
        13338.794       2.4776937      2.64084
        13400.805      -1.5409861      2.59367
        13692.824      -1.1134074      2.54754
        13693.005     -0.43661259      2.54567
        13693.778     -0.36768727      2.54098
        13693.952      -1.2894839      2.53841
        13694.819      0.12718888      2.54468
        13694.959       1.0081174      2.54574
        13695.011      0.77905270      2.55827
        13695.896       4.0421096      2.52003
        13696.930       2.7173343      2.55018
        13724.850      -5.6787993      2.58642
        13746.799       1.9056640      2.57838
        13748.790       2.4540506      2.57991
        13749.786       3.6992694      2.57392
        13750.795     0.089016319      2.56617
        13751.831      -3.5223943      2.57409
        13752.835      -6.3499613      2.57049
        13753.802      -4.4843594      2.56845
        13775.767       4.9670748      2.57270
        13776.805       6.0856934      2.56796
        13777.804       5.2063733      2.59382
        13778.800     0.087568810      2.57992
        13779.822      -3.2835623      2.58233
        13933.123       7.5445616      2.57200
        13959.129       1.0460875      2.56454
        13961.070       5.7820324      2.55954
        13962.066       4.1281222      2.55972
        13963.103      -2.9023657      2.57629
        13964.134      -1.4259484      2.63723
        13982.027       8.0802056      2.54961
        13983.083       5.4547501      2.56191
        13983.986     -0.89030138      2.56413
        13985.005      0.73637096      2.56908
        14083.895       6.8215626      2.58407
        14084.835       8.8103545      2.59567
        14129.916      -2.6115568      2.59632
        14130.715      -4.0137581      2.58998
        14131.781       1.4742049      2.60634
        14138.764     -0.40611697      2.58437
        14295.131       2.6170703      2.58631
        14305.135       2.4451270      2.61699
        14306.137       2.2290555      2.58558
        14307.121     -0.49159659      2.55445
        14308.117      -6.0683122      2.64964
        14309.109      -6.8210031      2.57880
        14310.107      -1.0538820      2.58304
        14311.093      0.89261943      2.57627
        14312.088       2.2703127      2.57521
        14313.084      -3.9634408      2.58092
        14314.089      -3.4369305      2.58386
        14315.105      0.26565535      2.57221
        14319.125      -7.3137834      2.54927
        14336.084      -7.8202388      2.57796
        14337.143       0.0000000      2.69123
        14339.112       2.5598297      2.64615
        14344.047       2.8933956      2.61217
        14345.147      -3.8692264      2.65523
        14396.864      -1.5811347      2.67955
        14397.921       1.1440464      2.67769
        14398.932       1.4845686      2.67572
        14399.877       3.4061908      2.67397
        14427.830      0.76885146      2.55413
        14429.894       4.4660945      2.57573
        14430.934       2.1875413      2.62287
        14453.738      -3.6654726      2.63306
        14454.784      -6.1045366      2.59368
        14455.788      -5.4877004      2.56165
        14456.770      -1.9592074      2.60835
        14458.922      -11.922541      2.77870
        14460.768      -3.1592600      2.65137
        14461.696      -2.6898456      3.08694
        14492.794      -4.3012036      2.55807
